266,51630,158
266,51630,600
267,51608,300
268,51633,347
270,51909,165
271,51883,252
271,51883,388
271,51883,322
270,51909,50
269,51910,435
269,51910,368
274,51913,244
272,51941,400
273,51957,583
273,51957,342
273,51957,461
273,51957,135
276,51909,19
275,51910,276
271,51883,520
276,51909,511
285,51930,485
277,51908,608
285,51930,94
280,51612,424
280,51612,569
277,51908,49
278,51900,41
279,51984,217
281,51614,230
280,51612,186
281,51614,547
284,51943,363
294,51986,11
292,51609,512
287,52023,398
288,52000,469
291,51928,417
290,51941,207
297,51959,61
290,51941,386
287,52023,617
291,51928,373
292,51609,333
294,51986,604
301,51942,42
300,51943,98
299,51671,179
303,51615,105
309,51994,239
311,51665,119
303,51615,420
303,51615,298
305,51613,89
308,51662,64
300,51943,26
301,51942,77
305,51613,44
305,51613,609
299,51671,415
300,51943,409
313,51673,508
327,52294,542
326,52375,326
329,52056,288
329,52056,208
333,52313,124
328,52282,141
331,52368,179
335,52000,166
335,52000,612
315,51663,496
339,51692,290
336,51999,393
337,51997,433
336,51999,425
336,51999,489
339,51692,372
341,51690,387
337,51997,384
338,51694,112
337,51997,349
351,51780,284
353,51703,344
353,51703,365
354,51792,383
354,51792,13
341,51690,619
355,51788,385
355,51788,238
355,51788,500
358,51818,349
355,51788,606
358,51818,373
354,51792,92
360,51816,168
360,51816,609
374,51791,110
376,52143,80
375,52140,273
374,51791,495
375,52140,356
363,51989,387
377,52145,45
381,51811,299
383,51818,252
386,51788,46
378,52146,487
379,51789,426
386,51788,461
377,52145,241
378,52146,43
377,52145,36
379,51789,112
381,51811,125
381,51811,116
387,51791,150
380,51792,160
389,51795,150
394,51913,226
389,51795,589
391,51782,594
388,51793,546
394,51913,427
396,51816,291
397,51794,316
395,51783,509
396,51816,551
396,51816,28
397,51794,87
391,51782,310
392,51793,269
393,51794,171
390,51900,640
394,51913,436
401,51788,29
406,51869,93
398,51789,234
403,51871,236
405,51816,347
398,51789,580
398,51789,327
406,51869,125
402,51793,152
403,51871,107
405,51816,168
397,51794,433
407,51820,61
398,51789,585
402,51793,331
417,51821,584
417,51821,264
409,51871,184
412,52258,104
416,51811,139
411,51817,166
414,51901,171
408,51821,58
407,51820,219
414,51901,188
409,51871,37
407,51820,557
408,51821,469
408,51821,563
419,51879,8
425,51898,216
427,51900,273
427,51900,138
430,51877,25
430,51877,102
426,51882,593
419,51879,593
420,51871,542
422,51811,509
424,51893,469
427,51900,499
425,51898,207
429,51820,45
429,51820,208
429,51820,595
424,51893,634
419,51879,586
430,51877,406
437,51869,100
439,51877,480
439,51877,561
443,51873,209
434,51885,243
434,51885,575
442,51882,200
436,51883,631
431,51877,502
432,51884,399
442,51882,61
442,51882,133
439,51877,222
454,51908,348
453,51915,48
451,51908,172
451,51908,424
447,51877,359
446,51899,61
450,51908,409
449,51900,340
444,51883,191
444,51883,455
448,51900,372
444,51883,83
448,51900,167
448,51900,231
449,51900,252
449,51900,107
449,51900,288
450,51908,427
457,51901,90
462,51909,129
461,51910,19
454,51908,310
462,51909,444
467,51901,58
467,51901,576
468,51912,530
458,51929,43
461,51910,58
467,51901,391
468,51912,489
470,51929,80
471,51924,123
475,51965,289
484,51907,33
483,51924,4
485,51909,379
469,51913,230
477,52026,173
477,52026,218
480,51989,392
475,51965,363
474,52000,581
468,51912,191
469,51913,237
488,51914,15
490,51929,88
491,51942,204
490,51929,357
492,51955,338
493,51957,564
487,51943,639
492,51955,359
494,51915,635
498,51984,397
498,51984,421
506,52022,193
508,52366,134
504,52316,72
505,52317,301
500,51994,384
502,51957,468
509,52374,418
507,52353,534
500,51994,30
503,51999,256
507,52353,214
502,51957,30
503,51999,193
502,51957,493
503,51999,585
504,52316,478
503,51999,362
519,52283,90
520,52288,466
514,51994,121
515,52051,137
518,52282,121
514,51994,252
519,52283,54
510,52381,317
511,52636,192
510,52381,621
517,52024,630
512,51992,471
510,52381,230
513,51989,274
511,52636,628
521,52326,302
528,52022,428
529,52025,619
524,52027,121
528,52022,132
521,52326,169
524,52027,428
520,52288,369
531,52028,529
534,51997,61
538,52029,359
536,52024,575
535,51999,16
539,52017,469
541,51959,188
543,52017,161
544,52201,412
533,51994,31
542,51993,540
544,52201,535
535,51999,49
545,52202,250
546,52205,608
549,51981,97
549,51981,119
546,52205,472
548,51986,318
556,51991,29
552,51992,439
551,51993,167
551,51993,70
553,51999,78
555,52266,42
550,51959,139
552,51992,139
551,51993,622
553,51999,208
552,51992,603
553,51999,247
554,52000,281
551,51993,324
567,52252,259
572,52289,319
566,52238,74
571,52286,555
565,52225,608
559,52316,231
560,52296,528
560,52296,606
572,52289,109
569,52264,200
564,52224,422
564,52224,606
582,52045,122
582,52045,135
584,52049,185
584,52049,218
583,52055,315
583,52055,164
586,52023,23
580,52368,289
584,52049,489
582,52045,443
580,52368,2
575,52319,238
576,52325,35
579,52338,115
576,52325,638
583,52055,557
579,52338,107
578,52339,467
580,52368,423
580,52368,532
593,52026,210
586,52023,437
